"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 02:42:06 UTC 2024","Tue Apr 09 02:42:07 UTC 2024","27","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"skipped","Tue Apr 09 08:00:46 UTC 2024","Tue Apr 09 08:00:46 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Apr 09 03:18:23 UTC 2024","Tue Apr 09 03:18:28 UTC 2024","4247","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Apr 09 02:43:40 UTC 2024","Tue Apr 09 02:44:06 UTC 2024","25729","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"skipped","Tue Apr 09 08:00:46 UTC 2024","Tue Apr 09 08:00:46 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Tue Apr 09 08:00:46 UTC 2024","Tue Apr 09 08:00:46 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Apr 09 03:24:28 UTC 2024","Tue Apr 09 03:24:33 UTC 2024","4408","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Apr 09 06:28:36 UTC 2024","Tue Apr 09 06:28:45 UTC 2024","9758","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"skipped","Tue Apr 09 05:20:21 UTC 2024","Tue Apr 09 05:20:21 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Apr 09 03:18:02 UTC 2024","Tue Apr 09 03:18:16 UTC 2024","13839","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Apr 09 03:21:37 UTC 2024","Tue Apr 09 03:21:40 UTC 2024","2511","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Apr 09 06:28:45 UTC 2024","Tue Apr 09 06:28:48 UTC 2024","2383","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Apr 09 03:02:37 UTC 2024","Tue Apr 09 03:02:44 UTC 2024","6962","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Apr 09 05:46:22 UTC 2024","Tue Apr 09 05:47:07 UTC 2024","44589","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"broken","Tue Apr 09 05:20:21 UTC 2024","Tue Apr 09 05:20:21 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Apr 09 06:21:25 UTC 2024","Tue Apr 09 06:21:40 UTC 2024","15111","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Apr 09 03:28:50 UTC 2024","Tue Apr 09 03:28:53 UTC 2024","2706","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Apr 09 03:02:48 UTC 2024","Tue Apr 09 03:03:09 UTC 2024","20367","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Apr 09 03:18:28 UTC 2024","Tue Apr 09 03:18:47 UTC 2024","19520","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Apr 09 03:29:00 UTC 2024","Tue Apr 09 03:29:57 UTC 2024","57276","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Apr 09 03:21:56 UTC 2024","Tue Apr 09 03:21:56 UTC 2024","465","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Apr 09 05:25:23 UTC 2024","Tue Apr 09 05:25:28 UTC 2024","4900","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Apr 09 03:03:15 UTC 2024","Tue Apr 09 03:03:23 UTC 2024","7621","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Apr 09 03:06:11 UTC 2024","Tue Apr 09 03:06:23 UTC 2024","11967","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"skipped","Tue Apr 09 05:43:58 UTC 2024","Tue Apr 09 05:43:58 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Apr 09 06:28:22 UTC 2024","Tue Apr 09 06:28:36 UTC 2024","13871","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Apr 09 07:03:08 UTC 2024","Tue Apr 09 07:03:29 UTC 2024","20711","","21. Forgot password function","","","","2. Reset password",""
"failed","Tue Apr 09 02:47:52 UTC 2024","Tue Apr 09 02:49:58 UTC 2024","126217","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"skipped","Tue Apr 09 05:43:58 UTC 2024","Tue Apr 09 05:43:58 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
